"Date","P/E","P/B","Div Yield"
"02-Jan-2012","       16.19","        2.60","        1.64"
"03-Jan-2012","       16.65","        2.65","        1.61"
"04-Jan-2012","       16.61","        2.65","        1.61"
"05-Jan-2012","       16.61","        2.63","        1.61"
"06-Jan-2012","       16.61","        2.63","        1.61"
"07-Jan-2012","       16.60","        2.63","        1.62"
"09-Jan-2012","       16.60","        2.63","        1.62"
"10-Jan-2012","       16.98","        2.69","        1.58"
"11-Jan-2012","       17.04","        2.70","        1.57"
"12-Jan-2012","       16.98","        2.69","        1.58"
"13-Jan-2012","       17.00","        2.71","        1.57"
"16-Jan-2012","       17.03","        2.72","        1.57"
"17-Jan-2012","       17.33","        2.75","        1.55"
"18-Jan-2012","       17.28","        2.73","        1.56"
"19-Jan-2012","       17.51","        2.77","        1.54"
"20-Jan-2012","       17.62","        2.79","        1.53"
"23-Jan-2012","       17.61","        2.79","        1.53"
"24-Jan-2012","       17.78","        2.83","        1.50"
"25-Jan-2012","       17.91","        2.83","        1.51"
"27-Jan-2012","       18.07","        2.85","        1.50"
"30-Jan-2012","       17.66","        2.79","        1.54"
"31-Jan-2012","       18.05","        2.85","        1.50"
"01-Feb-2012","       18.19","        2.87","        1.49"
"02-Feb-2012","       18.32","        2.89","        1.48"
"03-Feb-2012","       18.50","        2.87","        1.48"
"06-Feb-2012","       18.66","        2.89","        1.47"
"07-Feb-2012","       18.53","        2.88","        1.48"
"08-Feb-2012","       18.66","        2.88","        1.48"
"09-Feb-2012","       18.82","        2.90","        1.46"
"10-Feb-2012","       18.37","        2.87","        1.47"
"13-Feb-2012","       18.33","        2.87","        1.47"
"14-Feb-2012","       18.36","        2.89","        1.46"
"15-Feb-2012","       18.76","        2.95","        1.43"
"16-Feb-2012","       18.78","        2.95","        1.43"
"17-Feb-2012","       18.91","        2.97","        1.42"
"21-Feb-2012","       19.05","        3.00","        1.41"
"22-Feb-2012","       18.65","        2.93","        1.44"
"23-Feb-2012","       18.58","        2.93","        1.45"
"24-Feb-2012","       18.41","        2.90","        1.46"
"27-Feb-2012","       17.90","        2.83","        1.51"
"28-Feb-2012","       18.44","        2.89","        1.47"
"29-Feb-2012","       18.48","        2.90","        1.47"
"01-Mar-2012","       18.33","        2.87","        1.48"
"02-Mar-2012","       18.39","        2.89","        1.48"
"03-Mar-2012","       18.39","        2.90","        1.48"
"05-Mar-2012","       18.12","        2.85","        1.50"
"06-Mar-2012","       17.94","        2.82","        1.52"
"07-Mar-2012","       17.91","        2.82","        1.52"
"09-Mar-2012","       18.31","        2.88","        1.49"
"12-Mar-2012","       18.38","        2.91","        1.48"
"13-Mar-2012","       18.61","        2.94","        1.47"
"14-Mar-2012","       18.74","        2.96","        1.46"
"15-Mar-2012","       18.44","        2.91","        1.48"
"16-Mar-2012","       18.22","        2.88","        1.50"
"19-Mar-2012","       18.00","        2.85","        1.52"
"20-Mar-2012","       18.08","        2.86","        1.51"
"21-Mar-2012","       18.40","        2.91","        1.48"
"22-Mar-2012","       17.93","        2.83","        1.52"
"23-Mar-2012","       18.10","        2.86","        1.51"
"26-Mar-2012","       17.78","        2.81","        1.53"
"27-Mar-2012","       17.97","        2.84","        1.52"
"28-Mar-2012","       17.80","        2.81","        1.53"
"29-Mar-2012","       17.77","        2.81","        1.54"
"30-Mar-2012","       18.19","        2.88","        1.50"
"02-Apr-2012","       18.28","        2.89","        1.49"
"03-Apr-2012","       18.43","        2.91","        1.48"
