"Date","P/E","P/B","Div Yield"
"01-Jan-2020","       30.71","        3.77","        1.22"
"02-Jan-2020","       30.97","        3.80","        1.21"
"03-Jan-2020","       30.84","        3.78","        1.22"
"06-Jan-2020","       30.25","        3.71","        1.24"
"07-Jan-2020","       30.41","        3.73","        1.24"
"08-Jan-2020","       30.35","        3.73","        1.24"
"09-Jan-2020","       30.82","        3.78","        1.22"
"10-Jan-2020","       30.92","        3.80","        1.22"
"13-Jan-2020","       31.11","        3.82","        1.21"
"14-Jan-2020","       31.11","        3.83","        1.21"
"15-Jan-2020","       31.08","        3.83","        1.21"
"16-Jan-2020","       31.08","        3.72","        1.22"
"17-Jan-2020","       31.08","        3.71","        1.22"
"20-Jan-2020","       30.44","        3.67","        1.24"
"21-Jan-2020","       30.26","        3.50","        1.23"
"22-Jan-2020","       30.15","        3.47","        1.24"
"23-Jan-2020","       30.33","        3.49","        1.23"
"24-Jan-2020","       30.58","        3.51","        1.23"
"27-Jan-2020","       30.19","        3.48","        1.24"
"28-Jan-2020","       29.14","        3.45","        1.24"
"29-Jan-2020","       29.31","        3.47","        1.24"
"30-Jan-2020","       29.01","        3.44","        1.25"
"31-Jan-2020","       28.82","        3.42","        1.26"
"01-Feb-2020","       28.06","        3.33","        1.29"
"03-Feb-2020","       28.26","        3.34","        1.28"
"04-Feb-2020","       28.98","        3.42","        1.26"
"05-Feb-2020","       29.49","        3.46","        1.24"
"06-Feb-2020","       29.67","        3.47","        1.24"
"07-Feb-2020","       29.59","        3.47","        1.24"
"10-Feb-2020","       29.46","        3.45","        1.25"
"11-Feb-2020","       29.79","        3.47","        1.24"
"12-Feb-2020","       30.22","        3.49","        1.23"
"13-Feb-2020","       30.19","        3.48","        1.23"
"14-Feb-2020","       30.04","        3.46","        1.24"
"17-Feb-2020","       30.02","        3.44","        1.25"
"18-Feb-2020","       29.89","        3.42","        1.26"
"19-Feb-2020","       30.26","        3.46","        1.24"
"20-Feb-2020","       30.17","        3.45","        1.24"
"24-Feb-2020","       29.55","        3.38","        1.27"
"25-Feb-2020","       29.45","        3.37","        1.27"
"26-Feb-2020","       29.13","        3.33","        1.29"
"27-Feb-2020","       29.03","        3.32","        1.29"
"28-Feb-2020","       27.96","        3.20","        1.34"
"02-Mar-2020","       27.83","        3.19","        1.35"
"03-Mar-2020","       28.28","        3.24","        1.33"
"04-Mar-2020","       28.13","        3.22","        1.33"
"05-Mar-2020","       28.19","        3.23","        1.33"
"06-Mar-2020","       27.51","        3.15","        1.36"
"09-Mar-2020","       26.18","        3.00","        1.43"
"11-Mar-2020","       26.17","        3.00","        1.43"
"12-Mar-2020","       23.98","        2.75","        1.56"
"13-Mar-2020","       24.86","        2.85","        1.51"
"16-Mar-2020","       23.05","        2.64","        1.63"
"17-Mar-2020","       22.52","        2.58","        1.67"
"18-Mar-2020","       21.29","        2.44","        1.76"
"19-Mar-2020","       20.51","        2.39","        1.81"
"20-Mar-2020","       21.64","        2.52","        1.72"
"23-Mar-2020","       18.86","        2.20","        1.97"
"24-Mar-2020","       19.30","        2.25","        1.93"
"25-Mar-2020","       20.50","        2.39","        1.81"
"26-Mar-2020","       21.34","        2.49","        1.74"
"27-Mar-2020","       21.38","        2.49","        1.74"
"30-Mar-2020","       20.54","        2.40","        1.81"
"31-Mar-2020","       21.34","        2.49","        1.74"
"01-Apr-2020","       20.54","        2.39","        1.81"
"03-Apr-2020","       20.14","        2.35","        1.84"
"07-Apr-2020","       21.84","        2.55","        1.70"
"08-Apr-2020","       21.80","        2.54","        1.70"
"09-Apr-2020","       22.69","        2.64","        1.64"
"13-Apr-2020","       22.43","        2.61","        1.66"
"15-Apr-2020","       22.31","        2.60","        1.67"
"16-Apr-2020","       22.46","        2.62","        1.65"
"17-Apr-2020","       23.07","        2.69","        1.61"
"20-Apr-2020","       22.95","        2.69","        1.61"
"21-Apr-2020","       22.28","        2.61","        1.66"
"22-Apr-2020","       22.75","        2.67","        1.62"
"23-Apr-2020","       23.03","        2.70","        1.60"
"24-Apr-2020","       22.63","        2.66","        1.63"
"27-Apr-2020","       22.97","        2.70","        1.61"
"28-Apr-2020","       23.18","        2.72","        1.59"
"29-Apr-2020","       23.87","        2.77","        1.57"
"30-Apr-2020","       24.60","        2.85","        1.52"
"04-May-2020","       23.57","        2.69","        1.61"
"05-May-2020","       23.35","        2.67","        1.62"
"06-May-2020","       23.53","        2.69","        1.61"
"07-May-2020","       23.33","        2.66","        1.63"
"08-May-2020","       23.45","        2.68","        1.62"
"11-May-2020","       23.42","        2.68","        1.62"
"12-May-2020","       23.35","        2.67","        1.62"
"13-May-2020","       23.77","        2.72","        1.59"
"14-May-2020","       23.30","        2.65","        1.63"
"15-May-2020","       23.27","        2.65","        1.63"
"18-May-2020","       22.47","        2.56","        1.69"
"19-May-2020","       22.61","        2.57","        1.68"
"20-May-2020","       23.43","        2.63","        1.65"
"21-May-2020","       23.44","        2.64","        1.64"
"22-May-2020","       23.19","        2.62","        1.65"
"26-May-2020","       23.34","        2.61","        1.65"
"27-May-2020","       23.97","        2.68","        1.61"
"28-May-2020","       24.42","        2.73","        1.58"
"29-May-2020","       24.71","        2.76","        1.56"
"01-Jun-2020","       25.33","        2.82","        1.53"
"02-Jun-2020","       25.70","        2.86","        1.51"
"03-Jun-2020","       25.90","        2.88","        1.50"
"04-Jun-2020","       25.88","        2.88","        1.50"
"05-Jun-2020","       26.41","        2.91","        1.48"
"08-Jun-2020","       26.52","        2.92","        1.48"
"09-Jun-2020","       26.81","        2.89","        1.50"
"10-Jun-2020","       26.97","        2.90","        1.49"
"11-Jun-2020","       26.42","        2.85","        1.52"
"12-Jun-2020","       26.68","        2.87","        1.51"
"15-Jun-2020","       26.28","        2.82","        1.53"
"16-Jun-2020","       26.92","        2.85","        1.52"
"17-Jun-2020","       27.33","        2.84","        1.52"
"18-Jun-2020","       28.07","        2.89","        1.49"
"19-Jun-2020","       28.54","        2.94","        1.47"
"22-Jun-2020","       28.76","        2.96","        1.46"
"23-Jun-2020","       29.09","        3.01","        1.44"
"24-Jun-2020","       28.65","        2.96","        1.46"
"25-Jun-2020","       28.55","        2.96","        1.46"
"26-Jun-2020","       27.17","        3.08","        1.47"
"29-Jun-2020","       27.03","        3.06","        1.48"
