"Date","P/E","P/B","Div Yield"
"01-Jan-2018","       28.10","        3.53","        1.07"
"02-Jan-2018","       28.10","        3.53","        1.07"
"03-Jan-2018","       28.13","        3.53","        1.07"
"04-Jan-2018","       28.32","        3.56","        1.06"
"05-Jan-2018","       28.50","        3.58","        1.05"
"08-Jan-2018","       28.68","        3.60","        1.05"
"09-Jan-2018","       28.69","        3.60","        1.05"
"10-Jan-2018","       28.67","        3.60","        1.05"
"11-Jan-2018","       28.71","        3.61","        1.05"
"12-Jan-2018","       28.75","        3.61","        1.04"
"15-Jan-2018","       28.55","        3.64","        1.04"
"16-Jan-2018","       28.38","        3.62","        1.04"
"17-Jan-2018","       28.61","        3.65","        1.04"
"18-Jan-2018","       28.61","        3.65","        1.04"
"19-Jan-2018","       28.81","        3.67","        1.03"
"22-Jan-2018","       29.00","        3.70","        1.02"
"23-Jan-2018","       29.20","        3.74","        1.01"
"24-Jan-2018","       29.03","        3.73","        1.01"
"25-Jan-2018","       28.92","        3.72","        1.02"
"29-Jan-2018","       29.03","        3.73","        1.01"
"30-Jan-2018","       28.82","        3.71","        1.02"
"31-Jan-2018","       28.79","        3.70","        1.02"
"01-Feb-2018","       28.77","        3.70","        1.02"
"02-Feb-2018","       27.32","        3.61","        1.05"
"05-Feb-2018","       27.07","        3.58","        1.06"
"06-Feb-2018","       26.65","        3.53","        1.07"
"07-Feb-2018","       26.63","        3.52","        1.07"
"08-Feb-2018","       26.92","        3.56","        1.06"
"09-Feb-2018","       26.65","        3.52","        1.07"
"12-Feb-2018","       26.89","        3.56","        1.06"
"14-Feb-2018","       26.78","        3.54","        1.07"
"15-Feb-2018","       26.84","        3.55","        1.06"
"16-Feb-2018","       26.69","        3.52","        1.07"
"19-Feb-2018","       26.49","        3.49","        1.08"
"20-Feb-2018","       26.47","        3.49","        1.08"
"21-Feb-2018","       26.53","        3.50","        1.08"
"22-Feb-2018","       26.77","        3.49","        1.08"
"23-Feb-2018","       27.06","        3.53","        1.12"
"26-Feb-2018","       27.28","        3.56","        1.11"
"27-Feb-2018","       27.14","        3.55","        1.11"
"28-Feb-2018","       26.93","        3.53","        1.12"
"01-Mar-2018","       26.83","        3.52","        1.18"
"05-Mar-2018","       26.61","        3.48","        1.19"
"06-Mar-2018","       26.24","        3.45","        1.20"
"07-Mar-2018","       25.99","        3.41","        1.26"
"08-Mar-2018","       26.18","        3.44","        1.25"
"09-Mar-2018","       26.15","        3.43","        1.26"
"12-Mar-2018","       26.60","        3.49","        1.24"
"13-Mar-2018","       26.64","        3.50","        1.23"
"14-Mar-2018","       26.61","        3.50","        1.23"
"15-Mar-2018","       26.50","        3.48","        1.24"
"16-Mar-2018","       26.08","        3.43","        1.26"
"19-Mar-2018","       25.78","        3.39","        1.27"
"20-Mar-2018","       25.88","        3.40","        1.27"
"21-Mar-2018","       25.96","        3.42","        1.26"
"22-Mar-2018","       25.85","        3.40","        1.27"
"23-Mar-2018","       25.57","        3.37","        1.28"
"26-Mar-2018","       25.92","        3.41","        1.27"
"27-Mar-2018","       26.07","        3.43","        1.26"
"28-Mar-2018","       25.87","        3.41","        1.27"
"02-Apr-2018","       26.36","        3.49","        1.24"
"03-Apr-2018","       26.48","        3.50","        1.23"
"04-Apr-2018","       26.18","        3.46","        1.25"
"05-Apr-2018","       26.68","        3.53","        1.22"
"06-Apr-2018","       26.74","        3.54","        1.22"
"09-Apr-2018","       26.85","        3.55","        1.22"
"10-Apr-2018","       26.89","        3.56","        1.21"
"11-Apr-2018","       26.93","        3.56","        1.21"
"12-Apr-2018","       27.02","        3.57","        1.21"
"13-Apr-2018","       27.06","        3.58","        1.21"
"16-Apr-2018","       27.19","        3.60","        1.20"
"17-Apr-2018","       27.24","        3.60","        1.20"
"18-Apr-2018","       27.19","        3.60","        1.20"
"19-Apr-2018","       27.30","        3.61","        1.20"
"20-Apr-2018","       27.28","        3.61","        1.20"
"23-Apr-2018","       27.37","        3.63","        1.19"
"24-Apr-2018","       27.44","        3.64","        1.19"
"25-Apr-2018","       27.34","        3.62","        1.20"
"26-Apr-2018","       27.43","        3.64","        1.19"
"27-Apr-2018","       27.62","        3.66","        1.18"
"30-Apr-2018","       27.75","        3.68","        1.18"
"02-May-2018","       27.65","        3.67","        1.18"
"03-May-2018","       27.51","        3.65","        1.19"
"04-May-2018","       27.35","        3.63","        1.19"
"07-May-2018","       27.60","        3.66","        1.18"
"08-May-2018","       27.59","        3.66","        1.18"
"09-May-2018","       27.62","        3.66","        1.18"
"10-May-2018","       27.51","        3.65","        1.19"
"11-May-2018","       27.71","        3.67","        1.18"
"14-May-2018","       27.69","        3.67","        1.18"
"15-May-2018","       27.67","        3.67","        1.18"
"16-May-2018","       27.53","        3.65","        1.19"
"17-May-2018","       27.40","        3.63","        1.19"
"18-May-2018","       27.13","        3.60","        1.20"
"21-May-2018","       26.90","        3.57","        1.21"
"22-May-2018","       26.99","        3.58","        1.21"
"23-May-2018","       26.74","        3.55","        1.22"
"24-May-2018","       26.93","        3.57","        1.21"
"25-May-2018","       27.14","        3.61","        1.20"
"28-May-2018","       28.11","        3.64","        1.19"
"29-May-2018","       27.94","        3.63","        1.19"
"30-May-2018","       27.89","        3.62","        1.20"
