"Date","P/E","P/B","Div Yield"
"01-Jan-2015","       21.10","        3.35","        1.24"
"02-Jan-2015","       21.37","        3.39","        1.22"
"05-Jan-2015","       21.32","        3.38","        1.22"
"06-Jan-2015","       20.69","        3.28","        1.26"
"07-Jan-2015","       20.63","        3.28","        1.26"
"08-Jan-2015","       20.98","        3.33","        1.24"
"09-Jan-2015","       21.08","        3.35","        1.24"
"12-Jan-2015","       21.19","        3.36","        1.23"
"13-Jan-2015","       21.13","        3.35","        1.23"
"14-Jan-2015","       21.07","        3.35","        1.24"
"15-Jan-2015","       21.58","        3.43","        1.21"
"16-Jan-2015","       21.64","        3.44","        1.20"
"19-Jan-2015","       21.69","        3.45","        1.20"
"20-Jan-2015","       22.00","        3.50","        1.18"
"21-Jan-2015","       22.05","        3.52","        1.18"
"22-Jan-2015","       22.09","        3.53","        1.17"
"23-Jan-2015","       22.32","        3.56","        1.16"
"27-Jan-2015","       22.50","        3.59","        1.15"
"28-Jan-2015","       22.52","        3.59","        1.15"
"29-Jan-2015","       22.65","        3.60","        1.15"
"30-Jan-2015","       22.32","        3.55","        1.17"
"02-Feb-2015","       22.45","        3.57","        1.16"
"03-Feb-2015","       22.35","        3.55","        1.17"
"04-Feb-2015","       22.38","        3.54","        1.17"
"05-Feb-2015","       22.35","        3.53","        1.18"
"06-Feb-2015","       22.22","        3.51","        1.18"
"09-Feb-2015","       22.26","        3.45","        1.20"
"10-Feb-2015","       22.38","        3.47","        1.20"
"11-Feb-2015","       22.57","        3.50","        1.19"
"12-Feb-2015","       22.80","        3.54","        1.17"
"13-Feb-2015","       23.03","        3.57","        1.16"
"16-Feb-2015","       22.92","        3.59","        1.21"
"18-Feb-2015","       22.99","        3.62","        1.20"
"19-Feb-2015","       23.39","        3.63","        1.20"
"20-Feb-2015","       23.19","        3.61","        1.20"
"23-Feb-2015","       22.99","        3.57","        1.21"
"24-Feb-2015","       23.00","        3.58","        1.21"
"25-Feb-2015","       23.00","        3.58","        1.21"
"26-Feb-2015","       22.78","        3.54","        1.22"
"27-Feb-2015","       23.21","        3.61","        1.20"
"28-Feb-2015","       23.34","        3.63","        1.19"
"02-Mar-2015","       23.51","        3.66","        1.19"
"03-Mar-2015","       23.62","        3.67","        1.18"
"04-Mar-2015","       23.42","        3.64","        1.19"
"05-Mar-2015","       23.47","        3.65","        1.19"
"09-Mar-2015","       23.07","        3.59","        1.21"
"10-Mar-2015","       22.98","        3.57","        1.21"
"11-Mar-2015","       22.94","        3.57","        1.22"
"12-Mar-2015","       23.18","        3.60","        1.20"
"13-Mar-2015","       22.84","        3.55","        1.22"
"16-Mar-2015","       22.78","        3.54","        1.22"
"17-Mar-2015","       23.03","        3.58","        1.21"
"18-Mar-2015","       22.96","        3.57","        1.21"
"19-Mar-2015","       22.83","        3.55","        1.22"
"20-Mar-2015","       22.63","        3.52","        1.23"
"23-Mar-2015","       22.56","        3.51","        1.24"
"24-Mar-2015","       22.53","        3.50","        1.24"
"25-Mar-2015","       22.50","        3.50","        1.24"
"26-Mar-2015","       22.04","        3.43","        1.26"
"27-Mar-2015","       22.32","        3.46","        1.27"
"30-Mar-2015","       22.71","        3.52","        1.25"
"31-Mar-2015","       22.72","        3.52","        1.25"
"01-Apr-2015","       22.97","        3.56","        1.24"
"06-Apr-2015","       23.19","        3.60","        1.23"
"07-Apr-2015","       23.23","        3.60","        1.22"
"08-Apr-2015","       23.38","        3.63","        1.22"
"09-Apr-2015","       23.53","        3.65","        1.21"
"10-Apr-2015","       23.56","        3.65","        1.21"
"13-Apr-2015","       23.72","        3.68","        1.20"
"15-Apr-2015","       23.50","        3.64","        1.21"
"16-Apr-2015","       23.39","        3.62","        1.22"
"17-Apr-2015","       23.11","        3.58","        1.24"
"20-Apr-2015","       22.67","        3.51","        1.26"
"21-Apr-2015","       22.48","        3.48","        1.27"
"22-Apr-2015","       22.61","        3.50","        1.26"
"23-Apr-2015","       22.55","        3.49","        1.27"
"24-Apr-2015","       22.36","        3.45","        1.35"
"27-Apr-2015","       22.20","        3.43","        1.36"
"28-Apr-2015","       22.42","        3.46","        1.35"
"29-Apr-2015","       22.29","        3.45","        1.35"
"30-Apr-2015","       22.09","        3.41","        1.40"
"04-May-2015","       22.48","        3.47","        1.37"
"05-May-2015","       22.49","        3.47","        1.37"
"06-May-2015","       21.74","        3.38","        1.41"
"07-May-2015","       21.56","        3.35","        1.42"
"08-May-2015","       21.89","        3.41","        1.40"
"11-May-2015","       22.40","        3.50","        1.37"
"12-May-2015","       21.92","        3.42","        1.40"
"13-May-2015","       22.20","        3.47","        1.38"
"14-May-2015","       22.22","        3.46","        1.38"
"15-May-2015","       22.32","        3.47","        1.37"
"18-May-2015","       22.65","        3.52","        1.36"
"19-May-2015","       22.63","        3.52","        1.36"
"20-May-2015","       22.75","        3.54","        1.35"
"21-May-2015","       22.76","        3.53","        1.35"
"22-May-2015","       23.00","        3.51","        1.35"
"25-May-2015","       22.73","        3.48","        1.36"
"26-May-2015","       22.66","        3.47","        1.36"
"27-May-2015","       22.67","        3.47","        1.37"
"28-May-2015","       22.45","        3.46","        1.37"
"29-May-2015","       22.74","        3.53","        1.35"
"01-Jun-2015","       23.00","        3.53","        1.35"
"02-Jun-2015","       22.48","        3.45","        1.38"
"03-Jun-2015","       22.18","        3.40","        1.40"
"04-Jun-2015","       22.27","        3.40","        1.40"
"05-Jun-2015","       22.28","        3.36","        1.41"
"08-Jun-2015","       22.08","        3.33","        1.42"
"09-Jun-2015","       22.03","        3.33","        1.42"
"10-Jun-2015","       22.30","        3.37","        1.41"
"11-Jun-2015","       21.87","        3.30","        1.43"
"12-Jun-2015","       21.92","        3.29","        1.44"
"15-Jun-2015","       22.00","        3.30","        1.43"
"16-Jun-2015","       22.10","        3.32","        1.43"
"17-Jun-2015","       22.26","        3.34","        1.42"
"18-Jun-2015","       22.46","        3.37","        1.41"
"19-Jun-2015","       22.60","        3.39","        1.39"
"22-Jun-2015","       22.95","        3.44","        1.37"
"23-Jun-2015","       23.02","        3.46","        1.37"
"24-Jun-2015","       22.95","        3.44","        1.37"
"25-Jun-2015","       23.06","        3.46","        1.37"
"26-Jun-2015","       23.01","        3.45","        1.37"
"29-Jun-2015","       22.83","        3.42","        1.38"
"30-Jun-2015","       22.99","        3.39","        1.39"
"01-Jul-2015","       23.23","        3.42","        1.37"
"02-Jul-2015","       23.25","        3.42","        1.37"
"03-Jul-2015","       23.33","        3.43","        1.37"
"06-Jul-2015","       23.45","        3.45","        1.37"
"07-Jul-2015","       23.44","        3.45","        1.37"
"08-Jul-2015","       23.05","        3.39","        1.39"
"09-Jul-2015","       22.97","        3.38","        1.39"
