"Date","P/E","P/B","Div Yield"
"03-Jan-2011","       23.15","        3.76","        1.01"
"04-Jan-2011","       23.10","        3.75","        1.02"
"05-Jan-2011","       22.85","        3.71","        1.03"
"06-Jan-2011","       22.69","        3.69","        1.03"
"07-Jan-2011","       22.17","        3.60","        1.06"
"10-Jan-2011","       21.65","        3.52","        1.08"
"11-Jan-2011","       21.62","        3.51","        1.09"
"12-Jan-2011","       22.02","        3.58","        1.07"
"13-Jan-2011","       21.62","        3.52","        1.08"
"14-Jan-2011","       21.23","        3.46","        1.10"
"17-Jan-2011","       21.21","        3.46","        1.10"
"18-Jan-2011","       21.35","        3.49","        1.09"
"19-Jan-2011","       21.25","        3.48","        1.10"
"20-Jan-2011","       21.32","        3.49","        1.09"
"21-Jan-2011","       21.14","        3.49","        1.09"
"24-Jan-2011","       21.05","        3.52","        1.08"
"25-Jan-2011","       20.78","        3.48","        1.10"
"27-Jan-2011","       20.49","        3.43","        1.11"
"28-Jan-2011","       20.10","        3.37","        1.13"
"31-Jan-2011","       19.93","        3.37","        1.13"
"01-Feb-2011","       19.59","        3.31","        1.15"
"02-Feb-2011","       19.67","        3.32","        1.15"
"03-Feb-2011","       20.00","        3.37","        1.13"
"04-Feb-2011","       19.57","        3.30","        1.16"
"07-Feb-2011","       19.57","        3.30","        1.16"
"08-Feb-2011","       19.22","        3.25","        1.18"
"09-Feb-2011","       18.96","        3.20","        1.19"
"10-Feb-2011","       18.89","        3.19","        1.20"
"11-Feb-2011","       19.20","        3.24","        1.18"
"14-Feb-2011","       19.72","        3.35","        1.14"
"15-Feb-2011","       19.81","        3.36","        1.14"
"16-Feb-2011","       19.81","        3.37","        1.14"
"17-Feb-2011","       20.04","        3.41","        1.12"
"18-Feb-2011","       19.72","        3.35","        1.14"
"21-Feb-2011","       19.92","        3.38","        1.13"
"22-Feb-2011","       19.74","        3.35","        1.14"
"23-Feb-2011","       19.65","        3.33","        1.15"
"24-Feb-2011","       19.02","        3.23","        1.19"
"25-Feb-2011","       19.16","        3.25","        1.18"
"28-Feb-2011","       19.27","        3.27","        1.17"
"01-Mar-2011","       19.95","        3.38","        1.13"
"03-Mar-2011","       19.99","        3.39","        1.13"
"04-Mar-2011","       20.00","        3.39","        1.13"
"07-Mar-2011","       19.73","        3.35","        1.14"
"08-Mar-2011","       19.93","        3.38","        1.13"
"09-Mar-2011","       19.98","        3.39","        1.13"
"10-Mar-2011","       19.86","        3.37","        1.14"
"11-Mar-2011","       19.68","        3.34","        1.15"
"14-Mar-2011","       19.97","        3.39","        1.13"
"15-Mar-2011","       19.67","        3.34","        1.15"
"16-Mar-2011","       19.90","        3.37","        1.13"
"17-Mar-2011","       19.69","        3.34","        1.14"
"18-Mar-2011","       19.44","        3.30","        1.16"
"21-Mar-2011","       19.40","        3.29","        1.16"
"22-Mar-2011","       19.57","        3.32","        1.15"
"23-Mar-2011","       19.80","        3.36","        1.14"
"24-Mar-2011","       19.95","        3.38","        1.13"
"25-Mar-2011","       20.32","        3.49","        1.10"
"28-Mar-2011","       20.45","        3.51","        1.10"
"29-Mar-2011","       20.61","        3.54","        1.09"
"30-Mar-2011","       20.82","        3.57","        1.08"
"31-Mar-2011","       20.96","        3.60","        1.07"
"01-Apr-2011","       20.96","        3.60","        1.07"
"04-Apr-2011","       21.25","        3.65","        1.05"
"05-Apr-2011","       21.29","        3.65","        1.05"
"06-Apr-2011","       21.24","        3.65","        1.05"
"07-Apr-2011","       21.25","        3.65","        1.05"
"08-Apr-2011","       21.06","        3.61","        1.06"
"11-Apr-2011","       20.86","        3.58","        1.07"
"13-Apr-2011","       21.30","        3.65","        1.05"
"15-Apr-2011","       20.96","        3.61","        1.06"
"18-Apr-2011","       20.66","        3.56","        1.08"
"19-Apr-2011","       20.65","        3.56","        1.08"
"20-Apr-2011","       21.00","        3.63","        1.06"
"21-Apr-2011","       21.26","        3.69","        1.05"
"25-Apr-2011","       21.09","        3.69","        1.05"
"26-Apr-2011","       21.06","        3.68","        1.05"
"27-Apr-2011","       20.94","        3.67","        1.05"
"28-Apr-2011","       20.76","        3.64","        1.06"
"29-Apr-2011","       20.47","        3.61","        1.07"
"02-May-2011","       20.27","        3.58","        1.08"
"03-May-2011","       19.77","        3.50","        1.10"
"04-May-2011","       19.66","        3.48","        1.11"
"05-May-2011","       19.41","        3.40","        1.20"
"06-May-2011","       19.72","        3.46","        1.18"
"09-May-2011","       19.73","        3.47","        1.18"
"10-May-2011","       19.68","        3.46","        1.18"
"11-May-2011","       19.76","        3.48","        1.18"
"12-May-2011","       19.50","        3.43","        1.19"
"13-May-2011","       19.60","        3.47","        1.18"
"16-May-2011","       19.43","        3.44","        1.19"
"17-May-2011","       19.23","        3.41","        1.20"
"18-May-2011","       19.21","        3.39","        1.21"
"19-May-2011","       19.22","        3.39","        1.21"
"20-May-2011","       19.34","        3.43","        1.20"
"23-May-2011","       18.98","        3.37","        1.22"
"24-May-2011","       18.99","        3.38","        1.21"
"25-May-2011","       18.84","        3.35","        1.22"
"26-May-2011","       19.02","        3.39","        1.21"
"27-May-2011","       19.31","        3.43","        1.19"
"30-May-2011","       19.34","        3.39","        1.20"
"31-May-2011","       19.58","        3.45","        1.18"
"01-Jun-2011","       19.69","        3.47","        1.17"
"02-Jun-2011","       19.54","        3.44","        1.18"
"03-Jun-2011","       19.43","        3.42","        1.19"
"06-Jun-2011","       19.44","        3.42","        1.19"
"07-Jun-2011","       19.53","        3.44","        1.18"
"08-Jun-2011","       19.45","        3.40","        1.24"
"09-Jun-2011","       19.42","        3.40","        1.24"
"10-Jun-2011","       19.30","        3.38","        1.24"
"13-Jun-2011","       19.30","        3.38","        1.24"
"14-Jun-2011","       19.36","        3.39","        1.24"
"15-Jun-2011","       19.17","        3.36","        1.25"
"16-Jun-2011","       19.00","        3.33","        1.26"
"17-Jun-2011","       18.89","        3.31","        1.27"
"20-Jun-2011","       18.51","        3.24","        1.30"
"21-Jun-2011","       18.56","        3.25","        1.29"
