"Date","P/E","P/B","Div Yield"
"02-Jan-2006","       18.13","        4.16","        1.54"
"03-Jan-2006","       18.43","        4.22","        1.51"
"04-Jan-2006","       18.64","        4.24","        1.51"
"05-Jan-2006","       18.66","        4.24","        1.51"
"06-Jan-2006","       18.75","        4.26","        1.50"
"09-Jan-2006","       18.73","        4.26","        1.50"
"10-Jan-2006","       18.48","        4.20","        1.52"
"12-Jan-2006","       18.37","        4.18","        1.53"
"13-Jan-2006","       18.38","        4.18","        1.53"
"16-Jan-2006","       18.26","        4.15","        1.54"
"17-Jan-2006","       18.21","        4.14","        1.55"
"18-Jan-2006","       17.73","        4.03","        1.59"
"19-Jan-2006","       18.12","        4.12","        1.56"
"20-Jan-2006","       18.31","        4.16","        1.54"
"23-Jan-2006","       18.23","        4.15","        1.55"
"24-Jan-2006","       18.34","        4.17","        1.54"
"25-Jan-2006","       18.51","        4.21","        1.52"
"27-Jan-2006","       18.81","        4.28","        1.50"
"30-Jan-2006","       18.74","        4.26","        1.50"
"31-Jan-2006","       18.90","        4.30","        1.49"
"01-Feb-2006","       18.70","        4.25","        1.51"
"02-Feb-2006","       18.69","        4.25","        1.51"
"03-Feb-2006","       18.55","        4.22","        1.52"
"06-Feb-2006","       18.92","        4.31","        1.49"
"07-Feb-2006","       19.07","        4.34","        1.48"
"08-Feb-2006","       19.01","        4.33","        1.48"
"10-Feb-2006","       19.15","        4.36","        1.47"
"13-Feb-2006","       19.25","        4.38","        1.46"
"14-Feb-2006","       19.10","        4.35","        1.47"
"15-Feb-2006","       19.11","        4.35","        1.47"
"16-Feb-2006","       19.11","        4.35","        1.47"
"17-Feb-2006","       18.84","        4.29","        1.50"
"20-Feb-2006","       18.94","        4.31","        1.49"
"21-Feb-2006","       19.12","        4.35","        1.47"
"22-Feb-2006","       19.20","        4.37","        1.47"
"23-Feb-2006","       19.22","        4.37","        1.47"
"24-Feb-2006","       19.22","        4.37","        1.47"
"27-Feb-2006","       19.33","        4.40","        1.46"
"28-Feb-2006","       19.38","        4.41","        1.45"
"01-Mar-2006","       19.68","        4.48","        1.43"
"02-Mar-2006","       19.97","        4.53","        1.41"
