"Date","P/E","P/B","Div Yield"
"02-Jan-2017","       22.55","        3.13","        1.40"
"03-Jan-2017","       22.61","        3.14","        1.40"
"04-Jan-2017","       22.46","        3.14","        1.40"
"05-Jan-2017","       22.72","        3.18","        1.39"
"06-Jan-2017","       22.64","        3.17","        1.39"
"09-Jan-2017","       22.62","        3.16","        1.39"
"10-Jan-2017","       22.93","        3.19","        1.38"
"11-Jan-2017","       23.00","        3.22","        1.37"
"12-Jan-2017","       23.07","        3.23","        1.36"
"13-Jan-2017","       23.06","        3.23","        1.36"
"16-Jan-2017","       23.11","        3.24","        1.36"
"17-Jan-2017","       23.01","        3.23","        1.36"
"18-Jan-2017","       23.02","        3.24","        1.36"
"19-Jan-2017","       23.07","        3.25","        1.35"
"20-Jan-2017","       22.96","        3.21","        1.37"
"23-Jan-2017","       23.06","        3.23","        1.36"
"24-Jan-2017","       23.24","        3.27","        1.35"
"25-Jan-2017","       23.58","        3.31","        1.33"
"27-Jan-2017","       23.62","        3.33","        1.32"
"30-Jan-2017","       23.63","        3.33","        1.32"
"31-Jan-2017","       23.46","        3.30","        1.33"
"01-Feb-2017","       23.90","        3.36","        1.31"
"02-Feb-2017","       23.69","        3.37","        1.31"
"03-Feb-2017","       23.58","        3.37","        1.31"
"06-Feb-2017","       23.74","        3.40","        1.30"
"07-Feb-2017","       23.61","        3.38","        1.30"
"08-Feb-2017","       23.61","        3.39","        1.30"
"09-Feb-2017","       23.64","        3.39","        1.30"
"10-Feb-2017","       23.63","        3.39","        1.30"
"13-Feb-2017","       23.47","        3.40","        1.30"
"14-Feb-2017","       23.34","        3.39","        1.30"
"15-Feb-2017","       23.11","        3.36","        1.31"
"16-Feb-2017","       23.38","        3.39","        1.30"
"17-Feb-2017","       23.42","        3.40","        1.29"
"20-Feb-2017","       23.55","        3.43","        1.28"
"21-Feb-2017","       23.65","        3.44","        1.28"
"22-Feb-2017","       23.61","        3.44","        1.28"
"23-Feb-2017","       23.63","        3.44","        1.28"
"27-Feb-2017","       23.49","        3.43","        1.29"
"28-Feb-2017","       23.43","        3.43","        1.29"
"01-Mar-2017","       23.58","        3.45","        1.28"
"02-Mar-2017","       23.36","        3.42","        1.29"
"03-Mar-2017","       23.35","        3.42","        1.29"
"06-Mar-2017","       23.52","        3.45","        1.28"
"07-Mar-2017","       23.48","        3.44","        1.29"
"08-Mar-2017","       23.42","        3.43","        1.29"
"09-Mar-2017","       23.42","        3.43","        1.29"
"10-Mar-2017","       23.42","        3.43","        1.29"
"14-Mar-2017","       23.82","        3.49","        1.27"
"15-Mar-2017","       23.84","        3.49","        1.27"
"16-Mar-2017","       24.05","        3.52","        1.26"
"17-Mar-2017","       24.06","        3.53","        1.26"
"20-Mar-2017","       23.99","        3.52","        1.26"
"21-Mar-2017","       23.95","        3.51","        1.26"
"22-Mar-2017","       23.72","        3.48","        1.28"
"23-Mar-2017","       23.88","        3.50","        1.27"
"24-Mar-2017","       23.93","        3.51","        1.27"
"27-Mar-2017","       23.77","        3.48","        1.27"
"28-Mar-2017","       23.93","        3.51","        1.27"
"29-Mar-2017","       24.02","        3.52","        1.26"
"30-Mar-2017","       24.10","        3.53","        1.26"
"31-Mar-2017","       23.81","        3.50","        1.27"
"03-Apr-2017","       23.96","        3.52","        1.26"
"05-Apr-2017","       24.06","        3.53","        1.25"
"06-Apr-2017","       24.07","        3.53","        1.25"
"07-Apr-2017","       23.93","        3.51","        1.26"
"10-Apr-2017","       23.92","        3.51","        1.26"
"11-Apr-2017","       24.06","        3.53","        1.25"
"12-Apr-2017","       23.99","        3.52","        1.26"
"13-Apr-2017","       23.87","        3.51","        1.26"
"17-Apr-2017","       23.84","        3.50","        1.27"
"18-Apr-2017","       23.72","        3.48","        1.27"
"19-Apr-2017","       23.74","        3.49","        1.27"
"20-Apr-2017","       23.83","        3.50","        1.27"
"21-Apr-2017","       23.80","        3.49","        1.27"
"24-Apr-2017","       24.08","        3.53","        1.25"
"25-Apr-2017","       24.33","        3.57","        1.24"
"26-Apr-2017","       24.42","        3.58","        1.24"
"27-Apr-2017","       24.38","        3.58","        1.24"
"28-Apr-2017","       24.30","        3.57","        1.24"
"02-May-2017","       24.34","        3.57","        1.24"
"03-May-2017","       24.34","        3.57","        1.24"
"04-May-2017","       24.45","        3.59","        1.23"
"05-May-2017","       24.23","        3.56","        1.24"
"08-May-2017","       24.31","        3.57","        1.24"
"09-May-2017","       24.35","        3.57","        1.24"
"10-May-2017","       24.60","        3.61","        1.23"
"11-May-2017","       24.64","        3.62","        1.22"
"12-May-2017","       24.57","        3.61","        1.23"
"15-May-2017","       24.70","        3.63","        1.22"
"16-May-2017","       24.86","        3.65","        1.21"
"17-May-2017","       25.78","        3.65","        1.21"
"18-May-2017","       25.47","        3.61","        1.23"
"19-May-2017","       25.44","        3.60","        1.23"
"22-May-2017","       24.98","        3.60","        1.23"
