"Date","P/E","P/B","Div Yield"
"01-Jan-2008","       27.51","        6.23","        0.81"
"02-Jan-2008","       27.73","        6.28","        0.80"
"03-Jan-2008","       27.75","        6.28","        0.80"
"04-Jan-2008","       28.15","        6.37","        0.79"
"07-Jan-2008","       28.15","        6.37","        0.79"
"08-Jan-2008","       28.09","        6.36","        0.79"
"09-Jan-2008","       28.05","        6.35","        0.79"
"10-Jan-2008","       27.45","        6.22","        0.81"
"11-Jan-2008","       27.61","        6.26","        0.81"
"14-Jan-2008","       27.74","        6.29","        0.80"
"15-Jan-2008","       27.13","        6.16","        0.82"
"16-Jan-2008","       26.53","        6.03","        0.84"
"17-Jan-2008","       25.49","        6.00","        0.84"
"18-Jan-2008","       24.41","        5.77","        0.88"
"21-Jan-2008","       22.09","        5.23","        0.97"
"22-Jan-2008","       20.67","        4.92","        1.03"
"23-Jan-2008","       21.98","        5.24","        0.96"
"24-Jan-2008","       21.23","        5.07","        1.00"
"25-Jan-2008","       22.64","        5.43","        0.93"
"28-Jan-2008","       22.40","        5.36","        0.94"
"29-Jan-2008","       22.31","        5.36","        0.94"
"30-Jan-2008","       21.71","        5.23","        0.96"
"31-Jan-2008","       21.64","        5.20","        0.97"
"01-Feb-2008","       22.27","        5.36","        0.94"
"04-Feb-2008","       22.89","        5.51","        0.92"
"05-Feb-2008","       22.98","        5.53","        0.91"
"06-Feb-2008","       22.33","        5.38","        0.94"
"07-Feb-2008","       21.53","        5.18","        0.97"
"08-Feb-2008","       21.41","        5.16","        0.98"
"11-Feb-2008","       20.30","        4.89","        1.03"
"12-Feb-2008","       20.23","        4.87","        1.04"
"13-Feb-2008","       20.56","        4.95","        1.02"
"14-Feb-2008","       21.71","        5.23","        0.97"
"15-Feb-2008","       22.20","        5.36","        0.94"
"18-Feb-2008","       22.12","        5.34","        0.94"
"19-Feb-2008","       22.13","        5.35","        0.94"
"20-Feb-2008","       21.59","        5.22","        0.97"
"21-Feb-2008","       21.74","        5.25","        0.96"
"22-Feb-2008","       21.39","        5.17","        0.97"
"25-Feb-2008","       21.73","        5.25","        0.96"
"26-Feb-2008","       22.03","        5.32","        0.95"
"27-Feb-2008","       22.03","        5.32","        0.95"
"28-Feb-2008","       22.05","        5.33","        0.95"
"29-Feb-2008","       21.82","        5.27","        0.96"
"03-Mar-2008","       20.67","        4.99","        1.01"
"04-Mar-2008","       20.25","        4.89","        1.03"
"05-Mar-2008","       20.42","        4.93","        1.02"
"07-Mar-2008","       19.75","        4.77","        1.06"
"10-Mar-2008","       19.85","        4.80","        1.05"
"11-Mar-2008","       20.21","        4.88","        1.03"
"12-Mar-2008","       20.23","        4.89","        1.03"
"13-Mar-2008","       19.15","        4.55","        1.11"
"14-Mar-2008","       20.12","        4.82","        1.04"
"17-Mar-2008","       19.02","        4.56","        1.10"
"18-Mar-2008","       19.09","        4.58","        1.10"
"19-Mar-2008","       19.23","        4.61","        1.09"
"24-Mar-2008","       19.33","        4.63","        1.08"
"25-Mar-2008","       20.52","        4.92","        1.02"
"26-Mar-2008","       20.37","        4.88","        1.03"
"27-Mar-2008","       20.35","        4.88","        1.03"
"28-Mar-2008","       20.87","        5.00","        1.00"
"31-Mar-2008","       19.98","        4.80","        1.05"
"01-Apr-2008","       19.97","        4.79","        1.05"
"02-Apr-2008","       20.05","        4.81","        1.04"
"03-Apr-2008","       20.12","        4.83","        1.04"
"04-Apr-2008","       19.60","        4.70","        1.07"
"07-Apr-2008","       20.09","        4.82","        1.04"
"08-Apr-2008","       19.90","        4.77","        1.05"
"09-Apr-2008","       20.08","        4.82","        1.04"
"10-Apr-2008","       20.01","        4.80","        1.05"
"11-Apr-2008","       20.19","        4.84","        1.04"
"15-Apr-2008","       20.60","        4.95","        1.02"
"16-Apr-2008","       20.66","        4.96","        1.01"
"17-Apr-2008","       21.00","        5.04","        1.00"
"21-Apr-2008","       21.33","        5.13","        0.98"
"22-Apr-2008","       21.29","        5.15","        0.97"
"23-Apr-2008","       21.17","        5.12","        0.98"
"24-Apr-2008","       21.05","        5.10","        0.98"
"25-Apr-2008","       21.41","        5.21","        0.96"
"28-Apr-2008","       21.30","        5.19","        0.97"
"29-Apr-2008","       21.71","        5.30","        0.95"
"30-Apr-2008","       21.65","        5.27","        0.95"
"02-May-2008","       21.93","        5.34","        0.94"
"05-May-2008","       21.77","        5.32","        0.94"
"06-May-2008","       21.58","        5.26","        0.95"
"07-May-2008","       21.46","        5.25","        0.96"
"08-May-2008","       21.21","        5.19","        0.97"
"09-May-2008","       20.73","        5.07","        0.99"
"12-May-2008","       20.84","        5.10","        0.98"
"13-May-2008","       20.64","        5.05","        0.99"
"14-May-2008","       20.86","        5.11","        0.98"
"15-May-2008","       21.25","        5.21","        0.96"
"16-May-2008","       21.36","        5.26","        0.96"
"20-May-2008","       21.13","        5.20","        0.97"
"21-May-2008","       21.09","        5.21","        0.96"
"22-May-2008","       20.70","        5.11","        0.98"
"23-May-2008","       20.35","        5.03","        1.00"
"26-May-2008","       20.01","        4.67","        1.07"
"27-May-2008","       19.91","        4.65","        1.08"
"28-May-2008","       20.15","        4.71","        1.06"
"29-May-2008","       19.86","        4.64","        1.08"
"30-May-2008","       19.99","        4.67","        1.07"
"02-Jun-2008","       19.42","        4.54","        1.10"
"03-Jun-2008","       19.32","        4.52","        1.11"
"04-Jun-2008","       18.76","        4.38","        1.14"
"05-Jun-2008","       19.13","        4.47","        1.12"
"06-Jun-2008","       18.93","        4.42","        1.13"
"09-Jun-2008","       18.38","        4.30","        1.17"
"10-Jun-2008","       18.15","        4.11","        1.21"
"11-Jun-2008","       18.47","        4.18","        1.19"
"12-Jun-2008","       18.53","        4.20","        1.19"
"13-Jun-2008","       18.45","        4.18","        1.19"
"16-Jun-2008","       18.68","        4.23","        1.18"
"17-Jun-2008","       19.12","        4.31","        1.15"
"18-Jun-2008","       18.83","        4.24","        1.17"
"19-Jun-2008","       18.48","        4.17","        1.19"
"20-Jun-2008","       17.83","        4.02","        1.24"
"23-Jun-2008","       17.32","        3.93","        1.26"
"24-Jun-2008","       17.01","        3.86","        1.28"
"25-Jun-2008","       17.26","        3.92","        1.26"
"26-Jun-2008","       17.47","        3.97","        1.25"
"27-Jun-2008","       16.74","        3.80","        1.30"
"30-Jun-2008","       16.33","        3.71","        1.34"
"01-Jul-2008","       15.72","        3.57","        1.39"
"02-Jul-2008","       16.53","        3.75","        1.32"
"03-Jul-2008","       15.84","        3.59","        1.38"
"04-Jul-2008","       16.28","        3.52","        1.37"
"07-Jul-2008","       16.38","        3.54","        1.36"
"08-Jul-2008","       16.24","        3.51","        1.37"
"09-Jul-2008","       16.95","        3.66","        1.31"
"10-Jul-2008","       16.96","        3.66","        1.31"
"11-Jul-2008","       16.46","        3.56","        1.35"
"14-Jul-2008","       16.39","        3.55","        1.35"
"15-Jul-2008","       15.68","        3.39","        1.42"
"16-Jul-2008","       15.48","        3.35","        1.43"
"17-Jul-2008","       15.99","        3.46","        1.39"
"18-Jul-2008","       16.52","        3.59","        1.34"
"21-Jul-2008","       16.72","        3.64","        1.32"
"22-Jul-2008","       17.06","        3.72","        1.29"
"23-Jul-2008","       18.05","        3.81","        1.24"
"24-Jul-2008","       17.82","        3.78","        1.25"
"25-Jul-2008","       17.28","        3.68","        1.28"
"28-Jul-2008","       17.29","        3.70","        1.28"
"29-Jul-2008","       16.60","        3.56","        1.33"
"30-Jul-2008","       17.18","        3.68","        1.29"
"31-Jul-2008","       17.29","        3.69","        1.28"
"01-Aug-2008","       17.68","        3.77","        1.25"
"05-Aug-2008","       18.16","        3.86","        1.22"
"06-Aug-2008","       18.18","        3.86","        1.22"
"07-Aug-2008","       18.21","        3.87","        1.22"
"08-Aug-2008","       18.23","        3.87","        1.22"
"11-Aug-2008","       18.61","        3.95","        1.19"
"12-Aug-2008","       18.33","        3.89","        1.21"
"13-Aug-2008","       18.22","        3.87","        1.22"
"14-Aug-2008","       17.79","        3.78","        1.25"
"18-Aug-2008","       17.63","        3.75","        1.26"
"19-Aug-2008","       17.53","        3.72","        1.27"
"20-Aug-2008","       17.72","        3.76","        1.26"
"21-Aug-2008","       17.19","        3.65","        1.29"
"22-Aug-2008","       17.36","        3.52","        1.30"
"25-Aug-2008","       17.40","        3.53","        1.30"
"26-Aug-2008","       17.41","        3.53","        1.30"
"27-Aug-2008","       17.23","        3.50","        1.31"
"28-Aug-2008","       16.97","        3.44","        1.33"
"29-Aug-2008","       17.56","        3.56","        1.29"
"01-Sep-2008","       17.52","        3.55","        1.29"
"02-Sep-2008","       18.14","        3.68","        1.24"
"04-Sep-2008","       17.93","        3.64","        1.26"
"05-Sep-2008","       17.53","        3.56","        1.29"
"08-Sep-2008","       18.02","        3.66","        1.25"
"09-Sep-2008","       17.96","        3.64","        1.26"
"10-Sep-2008","       18.03","        3.67","        1.25"
"11-Sep-2008","       17.62","        3.59","        1.28"
"12-Sep-2008","       17.34","        3.53","        1.30"
"15-Sep-2008","       16.70","        3.40","        1.35"
"16-Sep-2008","       16.70","        3.40","        1.35"
"17-Sep-2008","       16.40","        3.34","        1.38"
"18-Sep-2008","       16.50","        3.14","        1.41"
"19-Sep-2008","       17.33","        3.30","        1.34"
"22-Sep-2008","       17.24","        3.28","        1.35"
"23-Sep-2008","       16.84","        3.20","        1.38"
"24-Sep-2008","       16.97","        3.23","        1.37"
"25-Sep-2008","       16.77","        3.19","        1.39"
"26-Sep-2008","       16.26","        3.09","        1.43"
"29-Sep-2008","       15.68","        2.98","        1.49"
"30-Sep-2008","       15.99","        3.04","        1.46"
"01-Oct-2008","       16.12","        3.07","        1.45"
"03-Oct-2008","       15.57","        2.96","        1.50"
"06-Oct-2008","       14.68","        2.79","        1.59"
"07-Oct-2008","       14.67","        2.79","        1.59"
"08-Oct-2008","       14.24","        2.71","        1.64"
"10-Oct-2008","       13.23","        2.52","        1.76"
"13-Oct-2008","       14.07","        2.68","        1.65"
"14-Oct-2008","       14.22","        2.71","        1.64"
"15-Oct-2008","       13.48","        2.57","        1.72"
"16-Oct-2008","       13.23","        2.52","        1.76"
"17-Oct-2008","       12.47","        2.38","        1.86"
"20-Oct-2008","       12.73","        2.43","        1.82"
"21-Oct-2008","       13.19","        2.52","        1.76"
"22-Oct-2008","       12.48","        2.39","        1.85"
"23-Oct-2008","       11.99","        2.30","        1.93"
"24-Oct-2008","       10.48","        2.03","        2.19"
"27-Oct-2008","       10.14","        1.97","        2.25"
"28-Oct-2008","       10.78","        2.09","        2.11"
"29-Oct-2008","       10.81","        2.10","        2.11"
"31-Oct-2008","       11.80","        2.24","        1.97"
"03-Nov-2008","       12.49","        2.36","        1.87"
"04-Nov-2008","       12.93","        2.45","        1.81"
"05-Nov-2008","       12.37","        2.34","        1.89"
"06-Nov-2008","       11.96","        2.26","        1.96"
"07-Nov-2008","       12.28","        2.32","        1.91"
"10-Nov-2008","       12.98","        2.46","        1.80"
"11-Nov-2008","       12.15","        2.30","        1.93"
"12-Nov-2008","       11.79","        2.23","        1.98"
"14-Nov-2008","       11.62","        2.20","        2.01"
"17-Nov-2008","       11.53","        2.18","        2.03"
"18-Nov-2008","       11.06","        2.09","        2.12"
"19-Nov-2008","       10.85","        2.05","        2.16"
"20-Nov-2008","       10.50","        1.99","        2.23"
"21-Nov-2008","       11.01","        2.08","        2.13"
"24-Nov-2008","       11.05","        2.09","        2.12"
"25-Nov-2008","       10.84","        2.05","        2.16"
"26-Nov-2008","       11.22","        2.12","        2.09"
"28-Nov-2008","       11.22","        2.12","        2.09"
"01-Dec-2008","       10.95","        2.07","        2.14"
"02-Dec-2008","       10.87","        2.06","        2.16"
"03-Dec-2008","       10.90","        2.06","        2.15"
"04-Dec-2008","       11.43","        2.16","        2.05"
"05-Dec-2008","       11.15","        2.08","        2.10"
"08-Dec-2008","       11.41","        2.13","        2.05"
"10-Dec-2008","       11.97","        2.23","        1.96"
"11-Dec-2008","       11.97","        2.23","        1.96"
"12-Dec-2008","       11.99","        2.24","        1.95"
"15-Dec-2008","       12.23","        2.28","        1.92"
"16-Dec-2008","       12.49","        2.33","        1.88"
"17-Dec-2008","       12.12","        2.26","        1.93"
"18-Dec-2008","       12.56","        2.34","        1.87"
"19-Dec-2008","       12.65","        2.36","        1.85"
"22-Dec-2008","       12.50","        2.33","        1.87"
"23-Dec-2008","       12.19","        2.27","        1.92"
"24-Dec-2008","       12.00","        2.24","        1.95"
"26-Dec-2008","       11.76","        2.19","        1.99"
"29-Dec-2008","       12.05","        2.24","        1.94"
"30-Dec-2008","       12.29","        2.29","        1.90"
