"Date","P/E","P/B","Div Yield"
"01-Jan-2021","       38.95","        4.02","        1.12"
"04-Jan-2021","       39.31","        4.06","        1.11"
"05-Jan-2021","       39.55","        4.08","        1.11"
"06-Jan-2021","       39.41","        4.07","        1.11"
"07-Jan-2021","       39.41","        4.07","        1.11"
"08-Jan-2021","       39.99","        4.13","        1.09"
"11-Jan-2021","       40.24","        4.17","        1.08"
"12-Jan-2021","       40.41","        4.18","        1.08"
"13-Jan-2021","       40.38","        4.18","        1.08"
"14-Jan-2021","       40.48","        4.19","        1.08"
"15-Jan-2021","       39.80","        4.14","        1.09"
"18-Jan-2021","       39.33","        4.09","        1.10"
"19-Jan-2021","       39.68","        4.16","        1.08"
"20-Jan-2021","       40.00","        4.20","        1.08"
"21-Jan-2021","       39.82","        4.18","        1.08"
"22-Jan-2021","       39.28","        4.12","        1.10"
"25-Jan-2021","       38.87","        4.08","        1.11"
"27-Jan-2021","       38.01","        4.01","        1.13"
"28-Jan-2021","       37.50","        3.97","        1.14"
"29-Jan-2021","       36.90","        3.91","        1.15"
"01-Feb-2021","       38.55","        4.09","        1.11"
"02-Feb-2021","       39.09","        4.19","        1.08"
"03-Feb-2021","       39.44","        4.23","        1.07"
"04-Feb-2021","       40.97","        4.26","        1.06"
"05-Feb-2021","       41.49","        4.26","        1.06"
"08-Feb-2021","       41.82","        4.32","        1.05"
"09-Feb-2021","       41.74","        4.31","        1.05"
"10-Feb-2021","       41.57","        4.32","        1.05"
"11-Feb-2021","       41.46","        4.34","        1.04"
"12-Feb-2021","       41.37","        4.34","        1.04"
"15-Feb-2021","       41.35","        4.38","        1.03"
"16-Feb-2021","       41.53","        4.38","        1.03"
"17-Feb-2021","       41.30","        4.36","        1.04"
"18-Feb-2021","       41.06","        4.34","        1.04"
"19-Feb-2021","       40.66","        4.29","        1.05"
"22-Feb-2021","       39.85","        4.21","        1.07"
"23-Feb-2021","       39.96","        4.22","        1.07"
"24-Feb-2021","       40.64","        4.29","        1.05"
"25-Feb-2021","       40.94","        4.33","        1.04"
"26-Feb-2021","       39.49","        4.17","        1.08"
"01-Mar-2021","       40.08","        4.23","        1.07"
"02-Mar-2021","       40.55","        4.28","        1.05"
"03-Mar-2021","       41.40","        4.37","        1.03"
"04-Mar-2021","       41.02","        4.33","        1.04"
"05-Mar-2021","       40.61","        4.29","        1.05"
"08-Mar-2021","       40.58","        4.29","        1.05"
"09-Mar-2021","       40.87","        4.33","        1.04"
"10-Mar-2021","       41.08","        4.35","        1.04"
"12-Mar-2021","       40.69","        4.31","        1.05"
"15-Mar-2021","       40.42","        4.28","        1.06"
"16-Mar-2021","       40.40","        4.28","        1.06"
"17-Mar-2021","       39.85","        4.22","        1.07"
"18-Mar-2021","       39.41","        4.17","        1.08"
"19-Mar-2021","       39.90","        4.22","        1.07"
"22-Mar-2021","       39.93","        4.23","        1.07"
"23-Mar-2021","       40.18","        4.25","        1.06"
"24-Mar-2021","       39.47","        4.18","        1.08"
"25-Mar-2021","       38.83","        4.11","        1.10"
"26-Mar-2021","       39.32","        4.16","        1.09"
"30-Mar-2021","       40.13","        4.25","        1.06"
"31-Mar-2021","       34.36","        4.25","        0.98"
"01-Apr-2021","       34.79","        4.31","        0.97"
"05-Apr-2021","       34.28","        4.25","        0.98"
"06-Apr-2021","       34.42","        4.26","        0.98"
"07-Apr-2021","       34.74","        4.30","        0.97"
"08-Apr-2021","       34.89","        4.32","        0.98"
"09-Apr-2021","       34.81","        4.31","        0.98"
"12-Apr-2021","       33.53","        4.15","        1.02"
"13-Apr-2021","       33.91","        4.21","        1.00"
"15-Apr-2021","       34.00","        4.23","        1.00"
"16-Apr-2021","       34.10","        4.25","        0.99"
"19-Apr-2021","       33.36","        4.18","        1.01"
"20-Apr-2021","       33.24","        4.16","        1.02"
"22-Apr-2021","       33.46","        4.19","        1.01"
"23-Apr-2021","       33.34","        4.18","        1.02"
"26-Apr-2021","       33.61","        4.21","        1.01"
"27-Apr-2021","       33.54","        4.26","        0.99"
"28-Apr-2021","       33.95","        4.32","        0.98"
"29-Apr-2021","       34.02","        4.33","        1.00"
"30-Apr-2021","       33.47","        4.26","        1.02"
"03-May-2021","       32.82","        4.26","        1.02"
"04-May-2021","       31.83","        4.23","        1.03"
"05-May-2021","       32.06","        4.27","        1.01"
"06-May-2021","       32.23","        4.30","        1.01"
"07-May-2021","       31.68","        4.32","        1.00"
"10-May-2021","       31.77","        4.37","        0.99"
"11-May-2021","       31.53","        4.35","        0.99"
"12-May-2021","       31.26","        4.31","        1.00"
"14-May-2021","       31.15","        4.30","        1.01"
"17-May-2021","       30.58","        4.37","        0.99"
"18-May-2021","       30.93","        4.42","        0.98"
"19-May-2021","       30.46","        4.41","        0.98"
"20-May-2021","       30.12","        4.38","        0.99"
"21-May-2021","       30.04","        4.45","        0.97"
"24-May-2021","       29.91","        4.46","        0.97"
"25-May-2021","       29.66","        4.46","        1.00"
"26-May-2021","       29.78","        4.48","        0.99"
"27-May-2021","       29.86","        4.49","        0.99"
"28-May-2021","       29.42","        4.52","        0.98"
"31-May-2021","       29.66","        4.50","        1.05"
"01-Jun-2021","       29.35","        4.49","        1.05"
"02-Jun-2021","       29.43","        4.50","        1.05"
"03-Jun-2021","       29.66","        4.54","        1.05"
"04-Jun-2021","       29.61","        4.54","        1.05"
"07-Jun-2021","       29.75","        4.56","        1.05"
"08-Jun-2021","       29.70","        4.56","        1.05"
"09-Jun-2021","       29.52","        4.53","        1.05"
"10-Jun-2021","       29.72","        4.56","        1.12"
"11-Jun-2021","       29.93","        4.58","        1.14"
"14-Jun-2021","       29.93","        4.58","        1.16"
"15-Jun-2021","       29.97","        4.59","        1.16"
"16-Jun-2021","       29.77","        4.56","        1.17"
"17-Jun-2021","       29.60","        4.53","        1.20"
"18-Jun-2021","       29.56","        4.44","        1.20"
"21-Jun-2021","       29.69","        4.43","        1.18"
"22-Jun-2021","       29.58","        4.44","        1.18"
"23-Jun-2021","       29.40","        4.42","        1.18"
"24-Jun-2021","       29.46","        4.44","        1.18"
"25-Jun-2021","       29.60","        4.46","        1.18"
"28-Jun-2021","       29.54","        4.45","        1.18"
"29-Jun-2021","       29.42","        4.43","        1.22"
"30-Jun-2021","       28.83","        4.36","        1.22"
"01-Jul-2021","       28.77","        4.36","        1.23"
"02-Jul-2021","       28.83","        4.36","        1.20"
"05-Jul-2021","       29.03","        4.39","        1.20"
"06-Jul-2021","       29.00","        4.39","        1.09"
"07-Jul-2021","       29.12","        4.41","        1.08"
"08-Jul-2021","       28.87","        4.37","        1.14"
"09-Jul-2021","       28.81","        4.36","        1.10"
"12-Jul-2021","       28.76","        4.36","        1.10"
"13-Jul-2021","       28.94","        4.39","        1.09"
"14-Jul-2021","       29.01","        4.40","        1.09"
