"Date","P/E","P/B","Div Yield"
"01-Jan-2014","       18.23","        2.87","        1.47"
"02-Jan-2014","       17.97","        2.83","        1.49"
"03-Jan-2014","       17.96","        2.82","        1.49"
"06-Jan-2014","       17.92","        2.82","        1.49"
"07-Jan-2014","       17.82","        2.80","        1.50"
"08-Jan-2014","       17.85","        2.81","        1.50"
"09-Jan-2014","       17.82","        2.80","        1.50"
"10-Jan-2014","       17.76","        2.80","        1.50"
"13-Jan-2014","       18.02","        2.84","        1.48"
"14-Jan-2014","       17.94","        2.83","        1.49"
"15-Jan-2014","       18.14","        2.86","        1.47"
"16-Jan-2014","       18.08","        2.86","        1.47"
"17-Jan-2014","       17.89","        2.83","        1.49"
"20-Jan-2014","       17.83","        2.85","        1.48"
"21-Jan-2014","       17.86","        2.85","        1.47"
"22-Jan-2014","       17.92","        2.86","        1.47"
"23-Jan-2014","       17.94","        2.86","        1.47"
"24-Jan-2014","       17.71","        2.82","        1.49"
"27-Jan-2014","       17.31","        2.76","        1.52"
"28-Jan-2014","       17.28","        2.76","        1.52"
"29-Jan-2014","       17.27","        2.76","        1.52"
"30-Jan-2014","       17.11","        2.73","        1.54"
"31-Jan-2014","       17.16","        2.75","        1.53"
"03-Feb-2014","       16.89","        2.71","        1.55"
"04-Feb-2014","       16.90","        2.71","        1.55"
"05-Feb-2014","       16.96","        2.72","        1.54"
"06-Feb-2014","       16.77","        2.73","        1.54"
"07-Feb-2014","       16.86","        2.74","        1.53"
"10-Feb-2014","       16.83","        2.74","        1.54"
"11-Feb-2014","       16.86","        2.74","        1.53"
"12-Feb-2014","       16.90","        2.75","        1.53"
"13-Feb-2014","       16.67","        2.71","        1.55"
"14-Feb-2014","       16.79","        2.73","        1.54"
"17-Feb-2014","       16.84","        2.74","        1.53"
"18-Feb-2014","       17.11","        2.76","        1.52"
"19-Feb-2014","       17.13","        2.77","        1.51"
"20-Feb-2014","       16.98","        2.75","        1.53"
"21-Feb-2014","       16.88","        2.77","        1.51"
"24-Feb-2014","       16.95","        2.79","        1.51"
"25-Feb-2014","       16.99","        2.79","        1.50"
"26-Feb-2014","       17.08","        2.81","        1.50"
"28-Feb-2014","       17.31","        2.83","        1.49"
"03-Mar-2014","       17.18","        2.80","        1.50"
"04-Mar-2014","       17.38","        2.84","        1.48"
"05-Mar-2014","       17.47","        2.85","        1.47"
"06-Mar-2014","       17.67","        2.88","        1.46"
"07-Mar-2014","       17.99","        2.94","        1.43"
"10-Mar-2014","       18.03","        2.94","        1.43"
"11-Mar-2014","       17.95","        2.93","        1.43"
"12-Mar-2014","       17.96","        2.93","        1.43"
"13-Mar-2014","       17.89","        2.92","        1.44"
"14-Mar-2014","       17.92","        2.93","        1.44"
"18-Mar-2014","       17.99","        2.94","        1.43"
"19-Mar-2014","       18.03","        2.94","        1.43"
"20-Mar-2014","       17.92","        2.92","        1.44"
"21-Mar-2014","       17.95","        2.93","        1.43"
"22-Mar-2014","       17.97","        2.93","        1.43"
"24-Mar-2014","       18.19","        2.97","        1.41"
"25-Mar-2014","       18.22","        2.97","        1.41"
"26-Mar-2014","       18.25","        2.98","        1.41"
"27-Mar-2014","       18.36","        3.00","        1.40"
"28-Mar-2014","       18.57","        3.05","        1.39"
"31-Mar-2014","       18.63","        3.06","        1.38"
"01-Apr-2014","       18.66","        3.07","        1.38"
"02-Apr-2014","       18.76","        3.09","        1.37"
"03-Apr-2014","       18.70","        3.08","        1.38"
"04-Apr-2014","       18.60","        3.06","        1.38"
"07-Apr-2014","       18.61","        3.06","        1.38"
"09-Apr-2014","       18.89","        3.11","        1.36"
"10-Apr-2014","       18.93","        3.11","        1.36"
"11-Apr-2014","       18.86","        3.10","        1.37"
"15-Apr-2014","       18.72","        3.08","        1.38"
"16-Apr-2014","       18.56","        3.05","        1.39"
"17-Apr-2014","       18.82","        3.10","        1.37"
"21-Apr-2014","       18.93","        3.12","        1.36"
"22-Apr-2014","       18.93","        3.12","        1.36"
"23-Apr-2014","       18.99","        3.13","        1.35"
"25-Apr-2014","       18.86","        3.11","        1.36"
"28-Apr-2014","       18.81","        3.10","        1.37"
"29-Apr-2014","       18.69","        3.08","        1.38"
"30-Apr-2014","       18.58","        3.06","        1.38"
"02-May-2014","       18.52","        3.05","        1.42"
"05-May-2014","       18.44","        3.05","        1.42"
"06-May-2014","       18.50","        3.05","        1.42"
"07-May-2014","       18.34","        3.03","        1.43"
"08-May-2014","       18.31","        3.02","        1.45"
"09-May-2014","       18.85","        3.10","        1.41"
"12-May-2014","       19.16","        3.16","        1.38"
"13-May-2014","       19.39","        3.20","        1.36"
"14-May-2014","       19.41","        3.21","        1.36"
"15-May-2014","       19.43","        3.22","        1.35"
"16-May-2014","       19.68","        3.26","        1.34"
"19-May-2014","       19.98","        3.30","        1.32"
"20-May-2014","       20.03","        3.31","        1.32"
"21-May-2014","       19.91","        3.30","        1.32"
"22-May-2014","       20.02","        3.31","        1.31"
"23-May-2014","       20.29","        3.35","        1.30"
"26-May-2014","       20.18","        3.34","        1.30"
"27-May-2014","       20.03","        3.32","        1.31"
"28-May-2014","       20.06","        3.33","        1.31"
"29-May-2014","       19.66","        3.28","        1.33"
"30-May-2014","       19.69","        3.28","        1.33"
"02-Jun-2014","       20.11","        3.34","        1.30"
"03-Jun-2014","       20.30","        3.37","        1.29"
"04-Jun-2014","       20.29","        3.37","        1.29"
"05-Jun-2014","       20.49","        3.40","        1.28"
"06-Jun-2014","       20.89","        3.45","        1.26"
"09-Jun-2014","       21.00","        3.47","        1.25"
"10-Jun-2014","       20.99","        3.47","        1.25"
"11-Jun-2014","       20.88","        3.41","        1.27"
"12-Jun-2014","       20.92","        3.42","        1.26"
"13-Jun-2014","       20.61","        3.36","        1.27"
"16-Jun-2014","       20.61","        3.36","        1.27"
"17-Jun-2014","       20.86","        3.34","        1.27"
"18-Jun-2014","       20.66","        3.31","        1.28"
"19-Jun-2014","       20.60","        3.30","        1.28"
"20-Jun-2014","       20.47","        3.28","        1.29"
"23-Jun-2014","       20.45","        3.28","        1.29"
"24-Jun-2014","       20.69","        3.32","        1.27"
"25-Jun-2014","       20.66","        3.31","        1.28"
"26-Jun-2014","       20.47","        3.28","        1.29"
"27-Jun-2014","       20.52","        3.29","        1.28"
"30-Jun-2014","       20.82","        3.34","        1.27"
"01-Jul-2014","       20.90","        3.35","        1.26"
"02-Jul-2014","       21.18","        3.40","        1.24"
"03-Jul-2014","       21.14","        3.39","        1.25"
"04-Jul-2014","       21.20","        3.41","        1.24"
"07-Jul-2014","       21.28","        3.42","        1.24"
"08-Jul-2014","       20.77","        3.34","        1.27"
"09-Jul-2014","       20.65","        3.32","        1.27"
"10-Jul-2014","       20.61","        3.31","        1.28"
"11-Jul-2014","       20.22","        3.26","        1.30"
"14-Jul-2014","       20.25","        3.25","        1.30"
"15-Jul-2014","       20.49","        3.29","        1.28"
"16-Jul-2014","       20.74","        3.33","        1.26"
"17-Jul-2014","       20.80","        3.34","        1.26"
"18-Jul-2014","       20.77","        3.35","        1.26"
"21-Jul-2014","       20.75","        3.36","        1.26"
