"Date","P/E","P/B","Div Yield"
"02-Jan-2007","       21.55","        4.84","        1.19"
"03-Jan-2007","       21.64","        4.86","        1.18"
"04-Jan-2007","       21.47","        4.82","        1.19"
"05-Jan-2007","       21.44","        4.81","        1.19"
"08-Jan-2007","       21.17","        4.75","        1.21"
"09-Jan-2007","       21.02","        4.72","        1.22"
"10-Jan-2007","       20.72","        4.65","        1.23"
"11-Jan-2007","       21.13","        4.76","        1.21"
"12-Jan-2007","       21.68","        4.87","        1.16"
"15-Jan-2007","       21.81","        4.90","        1.16"
"16-Jan-2007","       21.73","        4.91","        1.15"
"17-Jan-2007","       21.69","        4.91","        1.15"
"18-Jan-2007","       21.81","        4.94","        1.15"
"19-Jan-2007","       21.53","        4.92","        1.15"
"22-Jan-2007","       21.46","        4.93","        1.15"
"23-Jan-2007","       21.00","        4.89","        1.16"
"24-Jan-2007","       21.07","        4.92","        1.15"
"25-Jan-2007","       21.33","        4.99","        1.14"
"29-Jan-2007","       20.91","        4.96","        1.14"
"31-Jan-2007","       19.82","        4.91","        1.15"
"01-Feb-2007","       19.92","        4.97","        1.14"
"02-Feb-2007","       20.10","        5.03","        1.13"
"05-Feb-2007","       20.25","        4.97","        1.14"
"06-Feb-2007","       20.18","        5.05","        1.12"
"07-Feb-2007","       20.31","        5.08","        1.11"
"08-Feb-2007","       20.30","        5.08","        1.11"
"09-Feb-2007","       20.08","        5.02","        1.13"
"12-Feb-2007","       19.44","        4.87","        1.16"
"13-Feb-2007","       19.37","        4.85","        1.17"
"14-Feb-2007","       19.39","        4.85","        1.17"
"15-Feb-2007","       19.89","        4.98","        1.14"
"19-Feb-2007","       19.95","        4.99","        1.13"
"20-Feb-2007","       19.68","        4.93","        1.15"
"21-Feb-2007","       19.62","        4.91","        1.15"
"22-Feb-2007","       19.35","        4.84","        1.17"
"23-Feb-2007","       18.87","        4.72","        1.20"
"26-Feb-2007","       18.91","        4.73","        1.20"
"27-Feb-2007","       18.72","        4.69","        1.21"
"28-Feb-2007","       18.02","        4.51","        1.26"
"01-Mar-2007","       18.31","        4.58","        1.24"
"02-Mar-2007","       17.92","        4.49","        1.26"
"05-Mar-2007","       17.19","        4.30","        1.32"
"06-Mar-2007","       17.54","        4.39","        1.29"
"07-Mar-2007","       17.37","        4.35","        1.30"
"08-Mar-2007","       18.03","        4.51","        1.25"
"09-Mar-2007","       17.83","        4.46","        1.27"
"12-Mar-2007","       17.92","        4.49","        1.26"
"13-Mar-2007","       18.09","        4.53","        1.25"
"14-Mar-2007","       17.49","        4.38","        1.29"
"15-Mar-2007","       17.50","        4.38","        1.29"
"16-Mar-2007","       17.34","        4.34","        1.30"
"19-Mar-2007","       17.68","        4.43","        1.28"
"20-Mar-2007","       17.79","        4.45","        1.27"
"21-Mar-2007","       18.10","        4.53","        1.25"
"22-Mar-2007","       18.62","        4.66","        1.22"
"23-Mar-2007","       18.59","        4.65","        1.22"
"26-Mar-2007","       18.40","        4.61","        1.23"
"28-Mar-2007","       18.12","        4.54","        1.25"
"29-Mar-2007","       18.28","        4.58","        1.24"
