"Date","P/E","P/B","Div Yield"
"01-Jan-2016","       21.67","        3.13","        1.48"
"04-Jan-2016","       21.24","        3.07","        1.51"
"05-Jan-2016","       21.25","        3.07","        1.51"
"06-Jan-2016","       21.14","        3.06","        1.52"
"07-Jan-2016","       20.64","        2.98","        1.55"
"08-Jan-2016","       20.75","        3.00","        1.54"
"11-Jan-2016","       20.62","        2.98","        1.55"
"12-Jan-2016","       20.48","        2.96","        1.56"
"13-Jan-2016","       20.59","        2.98","        1.56"
"14-Jan-2016","       20.51","        2.97","        1.56"
"15-Jan-2016","       20.19","        2.92","        1.59"
"18-Jan-2016","       19.89","        2.88","        1.61"
"19-Jan-2016","       20.11","        2.91","        1.59"
"20-Jan-2016","       19.77","        2.86","        1.62"
"21-Jan-2016","       19.65","        2.85","        1.63"
"22-Jan-2016","       20.02","        2.90","        1.60"
"25-Jan-2016","       20.06","        2.91","        1.59"
"27-Jan-2016","       20.06","        2.91","        1.59"
"28-Jan-2016","       19.86","        2.90","        1.60"
"29-Jan-2016","       20.24","        2.96","        1.57"
"01-Feb-2016","       20.23","        2.96","        1.57"
"02-Feb-2016","       20.16","        2.91","        1.59"
"03-Feb-2016","       19.90","        2.88","        1.61"
"04-Feb-2016","       19.99","        2.89","        1.60"
"05-Feb-2016","       20.26","        2.93","        1.58"
"08-Feb-2016","       19.98","        2.89","        1.60"
"09-Feb-2016","       19.71","        2.86","        1.62"
"10-Feb-2016","       19.58","        2.82","        1.64"
"11-Feb-2016","       18.95","        2.73","        1.70"
"12-Feb-2016","       18.96","        2.73","        1.70"
"15-Feb-2016","       19.51","        2.81","        1.65"
"16-Feb-2016","       19.17","        2.76","        1.68"
"17-Feb-2016","       19.32","        2.78","        1.67"
"18-Feb-2016","       19.56","        2.81","        1.65"
"19-Feb-2016","       19.61","        2.81","        1.65"
"22-Feb-2016","       19.69","        2.83","        1.64"
"23-Feb-2016","       19.36","        2.78","        1.67"
"24-Feb-2016","       19.11","        2.74","        1.69"
"25-Feb-2016","       18.99","        2.72","        1.70"
"26-Feb-2016","       19.17","        2.75","        1.69"
"29-Feb-2016","       19.08","        2.74","        1.70"
"01-Mar-2016","       19.72","        2.83","        1.64"
"02-Mar-2016","       20.09","        2.88","        1.61"
"03-Mar-2016","       20.36","        2.92","        1.59"
"04-Mar-2016","       20.41","        2.93","        1.59"
"08-Mar-2016","       20.38","        2.92","        1.59"
"09-Mar-2016","       20.49","        2.94","        1.58"
"10-Mar-2016","       20.38","        2.92","        1.59"
"11-Mar-2016","       20.44","        2.93","        1.58"
"14-Mar-2016","       20.52","        2.94","        1.58"
"15-Mar-2016","       20.31","        2.91","        1.59"
"16-Mar-2016","       20.38","        2.92","        1.59"
"17-Mar-2016","       20.44","        2.93","        1.58"
"18-Mar-2016","       20.67","        2.96","        1.56"
"21-Mar-2016","       20.94","        3.00","        1.54"
"22-Mar-2016","       20.98","        3.01","        1.54"
"23-Mar-2016","       20.99","        3.01","        1.54"
"28-Mar-2016","       20.71","        2.97","        1.56"
"29-Mar-2016","       20.67","        2.96","        1.56"
"30-Mar-2016","       21.03","        3.01","        1.53"
"31-Mar-2016","       21.06","        3.02","        1.53"
"01-Apr-2016","       21.34","        3.15","        1.50"
"04-Apr-2016","       21.46","        3.16","        1.49"
"05-Apr-2016","       21.05","        3.10","        1.52"
"06-Apr-2016","       21.09","        3.11","        1.52"
"07-Apr-2016","       20.91","        3.08","        1.53"
"08-Apr-2016","       20.95","        3.09","        1.52"
"11-Apr-2016","       21.25","        3.13","        1.50"
"12-Apr-2016","       21.36","        3.15","        1.49"
"13-Apr-2016","       21.73","        3.20","        1.47"
"18-Apr-2016","       21.87","        3.23","        1.46"
"20-Apr-2016","       21.79","        3.23","        1.46"
"21-Apr-2016","       21.79","        3.23","        1.46"
"22-Apr-2016","       21.77","        3.19","        1.42"
"25-Apr-2016","       21.61","        3.17","        1.42"
"26-Apr-2016","       21.81","        3.21","        1.41"
"27-Apr-2016","       21.86","        3.22","        1.40"
"28-Apr-2016","       21.52","        3.17","        1.43"
"29-Apr-2016","       21.41","        3.17","        1.42"
"02-May-2016","       21.28","        3.17","        1.43"
"03-May-2016","       21.12","        3.14","        1.44"
"04-May-2016","       20.89","        3.12","        1.45"
"05-May-2016","       20.96","        3.13","        1.44"
"06-May-2016","       20.93","        3.13","        1.44"
"09-May-2016","       21.24","        3.18","        1.42"
"10-May-2016","       21.29","        3.19","        1.42"
"11-May-2016","       21.20","        3.18","        1.42"
"12-May-2016","       21.35","        3.20","        1.41"
"13-May-2016","       21.13","        3.16","        1.43"
"16-May-2016","       21.47","        3.17","        1.42"
"17-May-2016","       21.55","        3.18","        1.42"
"18-May-2016","       21.51","        3.18","        1.42"
"19-May-2016","       21.27","        3.14","        1.44"
"20-May-2016","       21.13","        3.12","        1.44"
"23-May-2016","       21.07","        3.11","        1.45"
"24-May-2016","       21.37","        3.12","        1.45"
"25-May-2016","       22.18","        3.19","        1.41"
"26-May-2016","       22.51","        3.24","        1.39"
"27-May-2016","       22.68","        3.28","        1.37"
"30-May-2016","       22.89","        3.29","        1.37"
"31-May-2016","       22.84","        3.28","        1.37"
"01-Jun-2016","       22.89","        3.29","        1.37"
"02-Jun-2016","       23.08","        3.31","        1.36"
"03-Jun-2016","       23.08","        3.31","        1.37"
"06-Jun-2016","       23.02","        3.30","        1.37"
"07-Jun-2016","       23.01","        3.32","        1.36"
"08-Jun-2016","       23.05","        3.32","        1.36"
"09-Jun-2016","       22.87","        3.30","        1.37"
"10-Jun-2016","       22.78","        3.27","        1.34"
"13-Jun-2016","       22.61","        3.24","        1.35"
"14-Jun-2016","       22.61","        3.24","        1.35"
"15-Jun-2016","       22.87","        3.28","        1.33"
"16-Jun-2016","       22.71","        3.26","        1.34"
"17-Jun-2016","       22.78","        3.25","        1.34"
"20-Jun-2016","       22.96","        3.27","        1.33"
"21-Jun-2016","       22.92","        3.27","        1.33"
"22-Jun-2016","       22.89","        3.26","        1.33"
"23-Jun-2016","       23.05","        3.29","        1.32"
"24-Jun-2016","       22.57","        3.19","        1.35"
"27-Jun-2016","       22.62","        3.19","        1.34"
"28-Jun-2016","       22.72","        3.21","        1.34"
