Price,Close,High,Low,Open,Volume
Ticker,^CNXFMCG,^CNXFMCG,^CNXFMCG,^CNXFMCG,^CNXFMCG
Date,,,,,
2011-01-31,8595.7001953125,8709.9501953125,8500.650390625,8707.9501953125,0
2011-02-01,8449.5,8665.5,8352.75,8625.599609375,0
2011-02-02,8440.0498046875,8555.25,8411.9501953125,8491.25,0
2011-02-03,8491.2998046875,8551.150390625,8405.25,8411.099609375,0
2011-02-04,8230.0498046875,8524.0,8188.75,8495.849609375,0
2011-02-07,8331.4501953125,8396.0,8240.150390625,8332.599609375,0
2011-02-08,8260.7998046875,8378.7001953125,8239.7998046875,8356.0498046875,0
2011-02-09,8181.10009765625,8263.2001953125,8111.89990234375,8248.400390625,0
2011-02-10,8194.75,8284.2001953125,8162.89990234375,8167.64990234375,0
2011-02-11,8186.75,8230.2001953125,8118.5498046875,8214.9501953125,0
2011-02-14,8393.150390625,8443.400390625,8191.35009765625,8191.35009765625,0
2011-02-15,8376.349609375,8440.400390625,8328.75,8430.099609375,0
2011-02-16,8412.75,8459.0,8345.150390625,8345.150390625,0
2011-02-17,8474.349609375,8486.400390625,8342.5,8427.599609375,0
2011-02-18,8410.0,8574.7998046875,8389.849609375,8466.75,0
2011-02-21,8473.5,8494.900390625,8348.5498046875,8413.349609375,0
2011-02-22,8422.900390625,8466.849609375,8368.25,8459.599609375,0
2011-02-23,8384.7998046875,8443.7001953125,8366.0498046875,8421.349609375,0
2011-02-24,8157.4501953125,8385.599609375,8104.64990234375,8332.400390625,0
2011-02-25,8357.849609375,8375.0498046875,8176.64990234375,8202.5498046875,0
2011-02-28,8730.349609375,8810.5,8310.7998046875,8348.25,0
2011-03-01,8943.099609375,8962.599609375,8789.9501953125,8789.9501953125,0
2011-03-03,8976.5498046875,9047.5498046875,8895.0498046875,8895.0498046875,0
2011-03-04,8926.150390625,9019.099609375,8902.25,9000.5,0
2011-03-07,8883.25,8917.75,8738.0,8882.7998046875,0
2011-03-08,8881.7998046875,8966.25,8861.25,8911.150390625,0
2011-03-09,8855.650390625,8942.150390625,8823.849609375,8903.849609375,0
2011-03-10,8828.4501953125,8852.9501953125,8774.900390625,8842.650390625,0
2011-03-11,8838.75,8912.349609375,8783.650390625,8804.400390625,0
2011-03-14,8910.9501953125,8922.2001953125,8830.349609375,8850.150390625,10885000
2011-03-15,8775.400390625,8891.650390625,8684.9501953125,8828.400390625,13803000
2011-03-16,8803.099609375,8844.7998046875,8784.5498046875,8798.599609375,11659000
2011-03-17,8674.7998046875,8801.849609375,8654.7001953125,8749.099609375,14224000
2011-03-18,8649.5498046875,8742.7998046875,8575.7998046875,8726.75,12635000
2011-03-21,8623.4501953125,8705.5,8611.5498046875,8672.2998046875,8377000
2011-03-22,8686.150390625,8723.650390625,8618.75,8653.7001953125,8503000
2011-03-23,8756.0,8778.9501953125,8664.650390625,8683.0498046875,8944000
2011-03-24,8790.0498046875,8814.0498046875,8765.599609375,8787.2001953125,9961000
2011-03-25,8930.0,8948.7998046875,8821.0498046875,8851.150390625,19141000
2011-03-28,9006.2998046875,9046.400390625,8905.7998046875,8905.7998046875,15166000
2011-03-29,9030.0,9064.150390625,9008.25,9029.2998046875,16242000
