Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2007-11-12,10304.6044921875,10359.303650737316,10020.15968821494,10284.505263771376,0
2007-11-13,10556.9501953125,10618.449029087595,10310.154094147343,10316.204760656337,0
2007-11-14,10850.1943359375,10868.943979865351,10640.198323945575,10640.198323945575,0
2007-11-15,11014.890625,11150.588245735646,10867.494007478204,10868.29379699138,0
2007-11-16,11130.9892578125,11258.636252904198,10935.44315881587,10995.891232046351,0
2007-11-19,11600.080078125,11629.779710872574,11224.687774673796,11248.53693230248,0
2007-11-20,11405.333984375,11740.728028421505,11310.835772541277,11607.33016205132,0
2007-11-21,10802.044921875,11542.280868406322,10699.596671554882,11408.783402871797,0
2007-11-22,10829.9951171875,10956.09233876994,10442.50245479641,10800.445872048156,0
2007-11-23,10948.8916015625,11091.388894388912,10753.196100649388,10867.34334613449,0
2007-11-26,11106.0888671875,11183.787586771337,11026.59037709913,11026.59037709913,0
2007-11-27,11203.087890625,11218.23799467543,11019.491754096374,11087.740463125408,0
2007-11-28,11137.8388671875,11427.433968536165,11094.19027977764,11194.688376462507,0
2007-11-29,11041.94140625,11381.334396819619,11002.341569795473,11302.135700454583,0
2007-11-30,11431.43359375,11473.582208464992,11116.539175090402,11116.539175090402,0
2007-12-03,11733.3271484375,11758.776860806207,11471.381923901035,11471.381923901035,0
2007-12-04,11840.375,11875.474920099541,11746.876773641306,11780.626133423188,0
2007-12-05,12015.572265625,12032.571943701854,11807.27640543916,11846.075475388121,0
2007-12-06,11919.32421875,12184.219595947148,11837.0259716447,12049.722141455082,0
2007-12-07,11944.7236328125,12056.97150374204,11675.228744478329,11953.173667848285,0
2007-12-10,12002.8720703125,12037.871406828279,11831.975895937558,12019.821944305368,0
2007-12-11,12059.2216796875,12175.96946738107,12033.97215815206,12126.770204367573,0
2007-12-12,12189.71875,12204.117890667052,11898.67447134927,11964.673218235814,0
2007-12-13,12237.5673828125,12371.415426642377,12208.06794308031,12248.067183395144,0
2007-12-14,12289.216796875,12351.365030609992,12180.718857482274,12230.81751537691,0
2007-12-17,11700.728515625,12327.866048063888,11568.931207943215,12230.068096237033,0
2007-12-18,11680.1279296875,11805.476136614128,11454.832400932824,11760.626401889494,0
2007-12-19,11669.4794921875,11969.07343538694,11510.932686072096,11743.428288917437,0
2007-12-20,11648.4296875,11784.677106016328,11612.129594028893,11612.73016858729,0
2007-12-24,11919.1240234375,11932.524160446339,11708.728591400079,11708.728591400079,0
2007-12-26,12239.1171875,12246.317246082777,11951.82283855659,11967.923118748402,0
2007-12-27,12082.0205078125,12314.865694404805,12062.721069708576,12256.667581100068,0
2007-12-28,12365.166015625,12374.365060012115,12014.871874010032,12078.370670424863,0
2007-12-31,12488.013671875,12533.71300235524,12377.265767712275,12426.71502722737,0
2008-01-01,12638.560546875,12664.359863161311,12401.565033384988,12488.413975204254,0
2008-01-02,12911.455078125,12932.75447845458,12582.86073037846,12684.808990256837,0
2008-01-03,12980.7041015625,13042.302543127853,12835.10627593096,12861.605773542131,0
2008-01-04,13069.2021484375,13209.09890732997,13008.602712646772,13008.602712646772,0
2008-01-07,13020.1533203125,13178.900307931088,12792.957436267056,12848.605794346811,0
2008-01-08,12747.708984375,13143.95148671204,12579.61157916062,13042.003220454942,0
2008-01-09,12861.005859375,12987.953644836201,12649.259878951429,12761.408140664662,0
