Price,Close,High,Low,Open,Volume
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
Date,,,,,
2007-09-17,6897.02001953125,6977.119187192931,6842.920549999041,6897.919911426769,0
2007-09-18,7059.56787109375,7078.8679397982405,6883.520112058051,6921.0694804268305,0
2007-09-19,7401.76416015625,7419.263956976473,7110.917439349022,7110.917439349022,0
2007-09-20,7390.06396484375,7462.813118859134,7343.514701467846,7404.864085705006,0
2007-09-21,7464.4130859375,7506.262696305653,7367.0641217921975,7378.213894310332,0
2007-09-24,7650.81103515625,7660.960819606251,7514.312620639167,7514.312620639167,0
2007-09-25,7629.06103515625,7694.1603745022485,7490.112946663085,7658.410790931601,0
2007-09-26,7755.8095703125,7829.758904335989,7591.711383910307,7647.011032803211,0
2007-09-27,7833.55908203125,7866.408798836151,7747.01028076877,7804.459321750297,0
2007-09-28,8042.10693359375,8082.756364539167,7835.958933600577,7838.159103398419,0
2007-10-01,7987.4072265625,8085.055994719444,7913.207893072496,8008.456786760142,0
2007-10-03,8097.8056640625,8235.703961613657,7820.158992834213,8029.706358912485,0
2007-10-04,8035.806640625,8086.606344024107,7828.559045892792,8083.205992862799,0
2007-10-05,7845.15869140625,8066.455920449384,7789.609533246847,8038.006544536039,0
2007-10-08,7626.31103515625,7935.3577268936615,7516.362609322073,7853.058392935147,0
2007-10-09,7895.75830078125,7916.358158941491,7534.962202463992,7580.811767068622,0
2007-10-10,8030.556640625,8080.955957663504,7907.258267845483,7960.5574535505275,0
2007-10-11,8158.705078125,8177.655053419004,8005.407053302662,8054.206291407102,0
2007-10-12,7933.90771484375,8132.005508277859,7889.708033650475,8093.555760202854,0
2007-10-15,8286.203125,8306.252695758136,7962.4569023251715,7962.4569023251715,0
2007-10-16,8452.1015625,8491.551297449088,8240.203644643156,8361.30281739934,0
2007-10-17,8099.8056640625,8218.00399589932,7641.411094972178,8071.455896245447,0
2007-10-18,7608.66162109375,8192.355036477242,7519.612850758061,8055.056338310493,0
2007-10-19,7423.71337890625,7718.8100410904835,7279.215061134451,7637.310989890472,0
