Price,Close,High,Low,Open,Volume
Ticker,^NSEMDCP50,^NSEMDCP50,^NSEMDCP50,^NSEMDCP50,^NSEMDCP50
Date,,,,,
2007-09-24,999.9474487304688,999.9474487304688,999.9474487304688,999.9474487304688,0
2007-09-25,2795.953125,2828.0512912367108,2748.3555293689083,2807.102441266461,0
2007-09-26,2804.00244140625,2845.400410794312,2797.9529548579017,2801.8526521187296,0
2007-09-27,2779.3037109375,2842.450534788841,2772.204230979327,2823.901461968033,0
2007-09-28,2838.100830078125,2843.300507956136,2777.4040691139394,2786.50344436851,0
2007-10-01,2897.59765625,2907.797071178648,2839.900738544413,2840.900685971296,0
2007-10-03,2908.09716796875,2972.2937453560658,2786.8535398019103,2904.197470569553,0
2007-10-04,2926.046142578125,2931.446005216915,2870.1992246744107,2903.0973977146964,0
2007-10-05,2874.098876953125,2946.045045122184,2857.14981698009,2946.045045122184,0
2007-10-08,2757.905029296875,2901.497332266616,2707.757519730107,2878.898667061611,0
2007-10-09,2844.1005859375,2847.0503821426214,2686.708952121076,2739.1561479935635,0
2007-10-10,2890.747802734375,2914.4965531699336,2845.9503551097355,2845.9503551097355,0
2007-10-11,2941.745361328125,2948.6451453407362,2877.2487495792,2890.498053543127,0
2007-10-12,2914.3466796875,2985.8429183554213,2897.8975938824647,2924.246061236561,0
2007-10-15,3011.291748046875,3016.7914591105814,2927.9462732217507,2927.9462732217507,0
2007-10-16,3061.5390625,3065.988779832261,3000.4922217789494,3000.4922217789494,0
2007-10-17,2975.193603515625,2986.7928469151134,2773.454214936747,2968.493760612513,0
2007-10-18,2886.298095703125,3084.2876789686165,2836.600759234262,2988.2426833114923,0
2007-10-19,2791.453369140625,2889.9481919095447,2736.2560751902242,2887.4981253810784,0
2007-10-22,2801.502685546875,2829.8012473074914,2704.8578618137785,2784.353684369858,0
2007-10-23,2959.994384765625,2971.0938992553592,2819.301825555769,2819.301825555769,0
2007-10-24,3010.99169921875,3032.790602691791,2956.9945363304937,2980.493301661494,0
2007-10-25,3031.640625,3062.689041095897,3009.4418411878264,3017.4912225853145,0
2007-10-26,3125.435791015625,3131.985251392794,3028.6408307753995,3042.4401541621396,0
2007-10-29,3206.131591796875,3210.3813685044906,3147.5345729536903,3154.434356908616,0
2007-10-30,3201.6318359375,3251.3792222229704,3178.7328925575594,3213.081185563571,0
2007-10-31,3208.431396484375,3253.3289380895126,3195.1320469437132,3195.1320469437132,0
2007-11-01,3138.98486328125,3281.977345135678,3119.985862195697,3230.0801714004665,0
2007-11-02,3194.08203125,3205.5313803293693,3061.8890317758783,3136.885087921687,0
2007-11-05,3273.727783203125,3295.226652880991,3190.5322061124753,3190.5322061124753,0
2007-11-06,3214.3310546875,3357.3735851970055,3177.032966247742,3285.2772769243393,0
2007-11-07,3193.83203125,3273.377896633459,3141.7346734773687,3258.07865241713,0
2007-11-08,3160.433837890625,3194.2819107732885,3127.835455125354,3170.3832656566597,0
2007-11-12,3112.036376953125,3120.5859763989547,3038.7401807046576,3120.5859763989547,0
